Time is :640
Time is :638
Time is :585
Time is :593
Time is :600
Time is :568
                                      
We run services for  :6  times.
Time is :727   this is case:  358   
Time is :607   this is case:  359   
Time is :618   this is case:  360   
Time is :602   this is case:  361   
Time is :495   this is case:  362   
Time is :686   this is case:  363   
Time is :510   this is case:  364   
Time is :578   this is case:  365   
Time is :528   this is case:  366   
Time is :533   this is case:  367   
Time is :605   this is case:  368   
Time is :600   this is case:  369   
Time is :630   this is case:  370   
Time is :621   this is case:  371   
Time is :651   this is case:  372   
Time is :640   this is case:  373   
Time is :496   this is case:  374   
Time is :511   this is case:  375   
Time is :522   this is case:  376   
Time is :508   this is case:  377   
Time is :507   this is case:  378   
Time is :497   this is case:  379   
Time is :545   this is case:  380   
Time is :496   this is case:  381   
Time is :597   this is case:  382   
Time is :647   this is case:  383   
Time is :588   this is case:  384   
Time is :564   this is case:  385   
Time is :605   this is case:  386   
Time is :596   this is case:  387   
Time is :597   this is case:  388   
Time is :637   this is case:  389   
Time is :601   this is case:  390   
Time is :486   this is case:  391   
Time is :533   this is case:  392   
Time is :600   this is case:  393   
Time is :612   this is case:  394   
Time is :613   this is case:  395   
Time is :586   this is case:  396   
Time is :612   this is case:  397   
Time is :568   this is case:  398   
Time is :512   this is case:  399   
Time is :681   this is case:  400   
Time is :626   this is case:  401   
Time is :605   this is case:  402   
Time is :493   this is case:  403   
Time is :545   this is case:  404   
Time is :515   this is case:  405   
Time is :508   this is case:  406   
Time is :466   this is case:  407   
Time is :497   this is case:  408   
Time is :491   this is case:  409   
Time is :569   this is case:  410   
Time is :469   this is case:  411   
Time is :509   this is case:  412   
Time is :572   this is case:  413   
Time is :540   this is case:  414   
Time is :499   this is case:  415   
Time is :609   this is case:  416   
Time is :500   this is case:  417   
Time is :504   this is case:  418   
Time is :496   this is case:  419   
Time is :492   this is case:  420   
Time is :507   this is case:  421   
Time is :492   this is case:  422   
Time is :563   this is case:  423   
Time is :612   this is case:  424   
Time is :505   this is case:  425   
Time is :532   this is case:  426   
Time is :589   this is case:  427   
Time is :502   this is case:  428   
Time is :496   this is case:  429   
Time is :579   this is case:  430   
Time is :578   this is case:  431   
Time is :597   this is case:  432   
Time is :624   this is case:  433   
Time is :608   this is case:  434   
Time is :575   this is case:  435   
Time is :615   this is case:  436   
Time is :572   this is case:  437   
Time is :762   this is case:  438   
Time is :675   this is case:  439   
Time is :620   this is case:  440   
Time is :597   this is case:  441   
Time is :656   this is case:  442   
Time is :628   this is case:  443   
Time is :616   this is case:  444   
Time is :778   this is case:  445   
Time is :596   this is case:  446   
Time is :527   this is case:  447   
Time is :548   this is case:  448   
Time is :583   this is case:  449   
Time is :602   this is case:  450   
Time is :562   this is case:  451   
Time is :581   this is case:  452   
Time is :482   this is case:  453   
Time is :509   this is case:  454   
Time is :476   this is case:  455   
Time is :619   this is case:  456   
Time is :491   this is case:  457   
Time is :572   this is case:  458   
Time is :565   this is case:  459   
Time is :595   this is case:  460   
Time is :493   this is case:  461   
Time is :498   this is case:  462   
Time is :475   this is case:  463   
Time is :521   this is case:  464   
Time is :472   this is case:  465   
Time is :642   this is case:  466   
Time is :636   this is case:  467   
Time is :601   this is case:  468   
Time is :492   this is case:  469   
Time is :511   this is case:  470   
Time is :574   this is case:  471   
Time is :648   this is case:  472   
Time is :582   this is case:  473   
Time is :654   this is case:  474   
Time is :497   this is case:  475   
Time is :706   this is case:  476   
Time is :585   this is case:  477   
Time is :595   this is case:  478   
Time is :471   this is case:  479   
Time is :498   this is case:  480   
Time is :676   this is case:  481   
Time is :592   this is case:  482   
Time is :561   this is case:  483   
Time is :562   this is case:  484   
Time is :582   this is case:  485   
Time is :493   this is case:  486   
Time is :566   this is case:  487   
Time is :483   this is case:  488   
Time is :742   this is case:  489   
Time is :589   this is case:  490   
Time is :657   this is case:  491   
Time is :594   this is case:  492   
Time is :562   this is case:  493   
Time is :571   this is case:  494   
Time is :453   this is case:  495   
Time is :755   this is case:  496   
Time is :567   this is case:  497   
Time is :602   this is case:  498   
Time is :551   this is case:  499   
Time is :586   this is case:  500   
Time is :594   this is case:  501   
Time is :596   this is case:  502   
Time is :595   this is case:  503   
Time is :593   this is case:  504   
Time is :615   this is case:  505   
Time is :612   this is case:  506   
Time is :706   this is case:  507   
Time is :591   this is case:  508   
Time is :735   this is case:  509   
Time is :617   this is case:  510   
Time is :482   this is case:  511   
Time is :513   this is case:  512   
Time is :602   this is case:  513   
Time is :557   this is case:  514   
Time is :566   this is case:  515   
Time is :510   this is case:  516   
Time is :664   this is case:  517   
Time is :648   this is case:  518   
Time is :637   this is case:  519   
Time is :594   this is case:  520   
Time is :588   this is case:  521   
Time is :625   this is case:  522   
Time is :487   this is case:  523   
Time is :631   this is case:  524   
Time is :520   this is case:  525   
Time is :714   this is case:  526   
Time is :595   this is case:  527   
Time is :602   this is case:  528   
Time is :550   this is case:  529   
Time is :488   this is case:  530   
Time is :534   this is case:  531   
Time is :696   this is case:  532   
Time is :585   this is case:  533   
Time is :589   this is case:  534   
Time is :598   this is case:  535   
Time is :632   this is case:  536   
Time is :652   this is case:  537   
Time is :598   this is case:  538   
Time is :517   this is case:  539   
Time is :556   this is case:  540   
Time is :504   this is case:  541   
Time is :549   this is case:  542   
Time is :509   this is case:  543   
Time is :529   this is case:  544   
Time is :613   this is case:  545   
Time is :689   this is case:  546   
Time is :496   this is case:  547   
Time is :654   this is case:  548   
Time is :632   this is case:  549   
Time is :621   this is case:  550   
Time is :593   this is case:  551   
Time is :630   this is case:  552   
Time is :610   this is case:  553   
Time is :643   this is case:  554   
Time is :649   this is case:  555   
Time is :575   this is case:  556   
Time is :589   this is case:  557   
Time is :599   this is case:  558   
Time is :597   this is case:  559   
Time is :610   this is case:  560   
Time is :536   this is case:  561   
Time is :589   this is case:  562   
Time is :518   this is case:  563   
Time is :603   this is case:  564   
Time is :539   this is case:  565   
Time is :510   this is case:  566   
Time is :591   this is case:  567   
Time is :645   this is case:  568   
Time is :527   this is case:  569   
Time is :745   this is case:  570   
Time is :521   this is case:  571   
Time is :596   this is case:  572   
Time is :656   this is case:  573   
Time is :588   this is case:  574   
Time is :619   this is case:  575   
Time is :588   this is case:  576   
Time is :471   this is case:  577   
Time is :690   this is case:  578   
Time is :474   this is case:  579   
Time is :685   this is case:  580   
Time is :621   this is case:  581   
Time is :594   this is case:  582   
Time is :502   this is case:  583   
Time is :528   this is case:  584   
Time is :523   this is case:  585   
Time is :512   this is case:  586   
Time is :561   this is case:  587   
Time is :556   this is case:  588   
Time is :505   this is case:  589   
Time is :519   this is case:  590   
Time is :503   this is case:  591   
Time is :647   this is case:  592   
Time is :613   this is case:  593   
Time is :627   this is case:  594   
Time is :650   this is case:  595   
Time is :688   this is case:  596   
Time is :521   this is case:  597   
Time is :491   this is case:  598   
Time is :616   this is case:  599   
Time is :609   this is case:  600   
Time is :573   this is case:  601   
Time is :550   this is case:  602   
Time is :484   this is case:  603   
Time is :722   this is case:  604   
Time is :609   this is case:  605   
Time is :625   this is case:  606   
Time is :524   this is case:  607   
Time is :588   this is case:  608   
Time is :489   this is case:  609   
Time is :677   this is case:  610   
Time is :595   this is case:  611   
Time is :586   this is case:  612   
Time is :702   this is case:  613   
Time is :677   this is case:  614   
Time is :537   this is case:  615   
Time is :541   this is case:  616   
Time is :518   this is case:  617   
Time is :497   this is case:  618   
Time is :483   this is case:  619   
Time is :501   this is case:  620   
Time is :484   this is case:  621   
Time is :551   this is case:  622   
Time is :499   this is case:  623   
Time is :620   this is case:  624   
Time is :629   this is case:  625   
Time is :600   this is case:  626   
Time is :583   this is case:  627   
Time is :637   this is case:  628   
Time is :487   this is case:  629   
Time is :619   this is case:  630   
Time is :552   this is case:  631   
Time is :587   this is case:  632   
Time is :545   this is case:  633   
Time is :541   this is case:  634   
Time is :458   this is case:  635   
Time is :497   this is case:  636   
Time is :511   this is case:  637   
Time is :606   this is case:  638   
Time is :569   this is case:  639   
Time is :594   this is case:  640   
Time is :500   this is case:  641   
Time is :564   this is case:  642   
Time is :598   this is case:  643   
Time is :615   this is case:  644   
Time is :473   this is case:  645   
Time is :510   this is case:  646   
Time is :482   this is case:  647   
Time is :682   this is case:  648   
Time is :557   this is case:  649   
Time is :637   this is case:  650   
Time is :511   this is case:  651   
Time is :501   this is case:  652   
Time is :590   this is case:  653   
Time is :603   this is case:  654   
Time is :498   this is case:  655   
Time is :524   this is case:  656   
Time is :506   this is case:  657   
Time is :588   this is case:  658   
Time is :574   this is case:  659   
Time is :584   this is case:  660   
Time is :491   this is case:  661   
Time is :540   this is case:  662   
Time is :568   this is case:  663   
Time is :636   this is case:  664   
Time is :491   this is case:  665   
Time is :532   this is case:  666   
Time is :476   this is case:  667   
Time is :509   this is case:  668   
Time is :531   this is case:  669   
Time is :494   this is case:  670   
Time is :477   this is case:  671   
Time is :504   this is case:  672   
Time is :483   this is case:  673   
Time is :500   this is case:  674   
Time is :487   this is case:  675   
Time is :503   this is case:  676   
Time is :486   this is case:  677   
Time is :500   this is case:  678   
Time is :501   this is case:  679   
Time is :610   this is case:  680   
Time is :565   this is case:  681   
Time is :591   this is case:  682   
Time is :518   this is case:  683   
Time is :516   this is case:  684   
Time is :552   this is case:  685   
Time is :612   this is case:  686   
Time is :479   this is case:  687   
Time is :514   this is case:  688   
Time is :483   this is case:  689   
Time is :507   this is case:  690   
Time is :480   this is case:  691   
Time is :517   this is case:  692   
Time is :461   this is case:  693   
Time is :608   this is case:  694   
Time is :599   this is case:  695   
Time is :568   this is case:  696   
Time is :595   this is case:  697   
Time is :595   this is case:  698   
Time is :679   this is case:  699   
Time is :603   this is case:  700   
Time is :685   this is case:  701   
Time is :719   this is case:  702   
Time is :556   this is case:  703   
Time is :621   this is case:  704   
Time is :599   this is case:  705   
Time is :597   this is case:  706   
Time is :573   this is case:  707   
Time is :576   this is case:  708   
Time is :584   this is case:  709   
Time is :736   this is case:  710   
Time is :588   this is case:  711   
Time is :709   this is case:  712   
Time is :589   this is case:  713   
Time is :700   this is case:  714   
Time is :578   this is case:  715   
Time is :591   this is case:  716   
Time is :569   this is case:  717   
Time is :585   this is case:  718   
Time is :652   this is case:  719   
Time is :631   this is case:  720   
Time is :563   this is case:  721   
Time is :663   this is case:  722   
Time is :599   this is case:  723   
Time is :724   this is case:  724   
Time is :559   this is case:  725   
Time is :720   this is case:  726   
Time is :577   this is case:  727   
Time is :614   this is case:  728   
Time is :626   this is case:  729   
Time is :591   this is case:  730   
Time is :562   this is case:  731   
Time is :593   this is case:  732   
Time is :578   this is case:  733   
Time is :612   this is case:  734   
Time is :492   this is case:  735   
Time is :488   this is case:  736   
Time is :598   this is case:  737   
Time is :587   this is case:  738   
Time is :586   this is case:  739   
Time is :512   this is case:  740   
Time is :492   this is case:  741   
Time is :479   this is case:  742   
Time is :497   this is case:  743   
Time is :488   this is case:  744   
Time is :501   this is case:  745   
Time is :480   this is case:  746   
Time is :491   this is case:  747   
Time is :496   this is case:  748   
Time is :478   this is case:  749   
Time is :495   this is case:  750   
Time is :493   this is case:  751   
Time is :513   this is case:  752   
Time is :512   this is case:  753   
Time is :656   this is case:  754   
Time is :519   this is case:  755   
Time is :664   this is case:  756   
Time is :575   this is case:  757   
Time is :693   this is case:  758   
Time is :465   this is case:  759   
Time is :462   this is case:  760   
Time is :642   this is case:  761   
Time is :554   this is case:  762   
Time is :453   this is case:  763   
Time is :448   this is case:  764   
Time is :668   this is case:  765   
Time is :610   this is case:  766   
Time is :591   this is case:  767   
Time is :602   this is case:  768   
Time is :609   this is case:  769   
Time is :600   this is case:  770   
Time is :700   this is case:  771   
Time is :556   this is case:  772   
Time is :528   this is case:  773   
Time is :547   this is case:  774   
Time is :540   this is case:  775   
Time is :482   this is case:  776   
Time is :491   this is case:  777   
Time is :597   this is case:  778   
Time is :460   this is case:  779   
Time is :718   this is case:  780   
Time is :487   this is case:  781   
Time is :521   this is case:  782   
Time is :576   this is case:  783   
Time is :603   this is case:  784   
Time is :486   this is case:  785   
Time is :691   this is case:  786   
Time is :493   this is case:  787   
Time is :728   this is case:  788   
Time is :606   this is case:  789   
Time is :601   this is case:  790   
Time is :604   this is case:  791   
Time is :606   this is case:  792   
Time is :600   this is case:  793   
Time is :589   this is case:  794   
Time is :649   this is case:  795   
Time is :648   this is case:  796   
Time is :568   this is case:  797   
Time is :682   this is case:  798   
Time is :594   this is case:  799   
Time is :526   this is case:  800   
Time is :577   this is case:  801   
Time is :596   this is case:  802   
Time is :646   this is case:  803   
Time is :596   this is case:  804   
Time is :511   this is case:  805   
Time is :603   this is case:  806   
Time is :663   this is case:  807   
Time is :643   this is case:  808   
Time is :517   this is case:  809   
Time is :515   this is case:  810   
Time is :521   this is case:  811   
Time is :538   this is case:  812   
Time is :519   this is case:  813   
Time is :541   this is case:  814   
Time is :555   this is case:  815   
Time is :546   this is case:  816   
Time is :500   this is case:  817   
Time is :587   this is case:  818   
Time is :506   this is case:  819   
Time is :636   this is case:  820   
Time is :634   this is case:  821   
Time is :595   this is case:  822   
Time is :528   this is case:  823   
Time is :593   this is case:  824   
Time is :616   this is case:  825   
Time is :640   this is case:  826   
Time is :608   this is case:  827   
Time is :603   this is case:  828   
Time is :639   this is case:  829   
Time is :628   this is case:  830   
Time is :613   this is case:  831   
Time is :640   this is case:  832   
Time is :511   this is case:  833   
Time is :521   this is case:  834   
Time is :595   this is case:  835   
Time is :602   this is case:  836   
Time is :591   this is case:  837   
Time is :598   this is case:  838   
Time is :600   this is case:  839   
Time is :610   this is case:  840   
Time is :598   this is case:  841   
Time is :621   this is case:  842   
Time is :566   this is case:  843   
Time is :522   this is case:  844   
Time is :479   this is case:  845   
Time is :531   this is case:  846   
Time is :568   this is case:  847   
Time is :604   this is case:  848   
Time is :510   this is case:  849   
Time is :533   this is case:  850   
Time is :583   this is case:  851   
Time is :608   this is case:  852   
Time is :617   this is case:  853   
Time is :636   this is case:  854   
Time is :496   this is case:  855   
Time is :509   this is case:  856   
Time is :524   this is case:  857   
Time is :525   this is case:  858   
Time is :498   this is case:  859   
Time is :511   this is case:  860   
Time is :602   this is case:  861   
Time is :640   this is case:  862   
Time is :585   this is case:  863   
Time is :593   this is case:  864   
Time is :579   this is case:  865   
Time is :582   this is case:  866   
Time is :499   this is case:  867   
Time is :558   this is case:  868   
Time is :610   this is case:  869   
Time is :594   this is case:  870   
Time is :569   this is case:  871   
Time is :609   this is case:  872   
Time is :577   this is case:  873   
Time is :605   this is case:  874   
Time is :585   this is case:  875   
Time is :608   this is case:  876   
Time is :593   this is case:  877   
Time is :638   this is case:  878   
Time is :617   this is case:  879   
Time is :516   this is case:  880   
Time is :524   this is case:  881   
Time is :534   this is case:  882   
Time is :490   this is case:  883   
Time is :471   this is case:  884   
Time is :485   this is case:  885   
Time is :475   this is case:  886   
Time is :485   this is case:  887   
Time is :650   this is case:  888   
Time is :612   this is case:  889   
Time is :578   this is case:  890   
Time is :566   this is case:  891   
Time is :489   this is case:  892   
Time is :562   this is case:  893   
Time is :491   this is case:  894   
Time is :501   this is case:  895   
Time is :510   this is case:  896   
Time is :556   this is case:  897   
Time is :707   this is case:  898   
Time is :479   this is case:  899   
Time is :596   this is case:  900   
Time is :461   this is case:  901   
Time is :463   this is case:  902   
Time is :552   this is case:  903   
Time is :476   this is case:  904   
Time is :459   this is case:  905   
Time is :505   this is case:  906   
Time is :536   this is case:  907   
Time is :598   this is case:  908   
Time is :460   this is case:  909   
Time is :491   this is case:  910   
Time is :488   this is case:  911   
Time is :502   this is case:  912   
Time is :552   this is case:  913   
Time is :586   this is case:  914   
Time is :508   this is case:  915   
Time is :574   this is case:  916   
Time is :647   this is case:  917   
Time is :497   this is case:  918   
Time is :724   this is case:  919   
Time is :629   this is case:  920   
Time is :602   this is case:  921   
Time is :572   this is case:  922   
Time is :554   this is case:  923   
Time is :573   this is case:  924   
Time is :574   this is case:  925   
Time is :576   this is case:  926   
Time is :542   this is case:  927   
Time is :589   this is case:  928   
Time is :546   this is case:  929   
Time is :583   this is case:  930   
Time is :612   this is case:  931   
Time is :642   this is case:  932   
Time is :580   this is case:  933   
Time is :644   this is case:  934   
Time is :550   this is case:  935   
Time is :657   this is case:  936   
Time is :531   this is case:  937   
Time is :656   this is case:  938   
Time is :563   this is case:  939   
Time is :580   this is case:  940   
Time is :531   this is case:  941   
Time is :562   this is case:  942   
Time is :560   this is case:  943   
Time is :566   this is case:  944   
Time is :618   this is case:  945   
Time is :577   this is case:  946   
Time is :582   this is case:  947   
Time is :717   this is case:  948   
Time is :600   this is case:  949   
Time is :564   this is case:  950   
Time is :666   this is case:  951   
Time is :601   this is case:  952   
Time is :545   this is case:  953   
Time is :575   this is case:  954   
Time is :615   this is case:  955   
Time is :582   this is case:  956   
Time is :587   this is case:  957   
Time is :571   this is case:  958   
Time is :657   this is case:  959   
Time is :593   this is case:  960   
Time is :606   this is case:  961   
Time is :572   this is case:  962   
Time is :661   this is case:  963   
Time is :661   this is case:  964   
Time is :573   this is case:  965   
Time is :630   this is case:  966   
Time is :630   this is case:  967   
Time is :590   this is case:  968   
Time is :565   this is case:  969   
Time is :557   this is case:  970   
Time is :555   this is case:  971   
Time is :646   this is case:  972   
Time is :555   this is case:  973   
Time is :560   this is case:  974   
Time is :559   this is case:  975   
Time is :557   this is case:  976   
Time is :578   this is case:  977   
Time is :583   this is case:  978   
Time is :566   this is case:  979   
Time is :601   this is case:  980   
Time is :580   this is case:  981   
Time is :580   this is case:  982   
Time is :588   this is case:  983   
Time is :652   this is case:  984   
Time is :624   this is case:  985   
Time is :654   this is case:  986   
Time is :509   this is case:  987   
