Time is :1385
Time is :1112
Time is :1076
Time is :1290
Time is :991
Time is :969
                                      
We run services for  :6  times.
Time is :977   this is case:  66   
Time is :1043   this is case:  67   
Time is :1028   this is case:  68   
Time is :903   this is case:  69   
Time is :921   this is case:  70   
Time is :908   this is case:  71   
Time is :1083   this is case:  72   
Time is :911   this is case:  73   
Time is :906   this is case:  74   
Time is :1175   this is case:  75   
Time is :1050   this is case:  76   
Time is :894   this is case:  77   
Time is :901   this is case:  78   
Time is :1044   this is case:  79   
Time is :915   this is case:  80   
Time is :914   this is case:  81   
Time is :1278   this is case:  82   
Time is :914   this is case:  83   
Time is :908   this is case:  84   
Time is :1027   this is case:  85   
Time is :924   this is case:  86   
Time is :921   this is case:  87   
Time is :1053   this is case:  88   
Time is :938   this is case:  89   
Time is :927   this is case:  90   
Time is :1093   this is case:  91   
Time is :814   this is case:  92   
Time is :890   this is case:  93   
Time is :924   this is case:  94   
Time is :912   this is case:  95   
Time is :1048   this is case:  96   
Time is :899   this is case:  97   
Time is :1025   this is case:  98   
Time is :1071   this is case:  99   
Time is :953   this is case:  100   
Time is :934   this is case:  101   
Time is :1035   this is case:  102   
Time is :910   this is case:  103   
Time is :928   this is case:  104   
Time is :915   this is case:  105   
Time is :941   this is case:  106   
Time is :1079   this is case:  107   
Time is :1014   this is case:  108   
Time is :939   this is case:  109   
Time is :1048   this is case:  110   
Time is :1082   this is case:  111   
Time is :883   this is case:  112   
Time is :1621   this is case:  113   
Time is :1117   this is case:  114   
Time is :1069   this is case:  115   
Time is :1166   this is case:  116   
Time is :982   this is case:  117   
Time is :1060   this is case:  118   
Time is :1039   this is case:  119   
Time is :1061   this is case:  120   
Time is :1083   this is case:  121   
Time is :1060   this is case:  122   
Time is :1028   this is case:  123   
Time is :1076   this is case:  124   
Time is :1095   this is case:  125   
Time is :1060   this is case:  126   
Time is :1030   this is case:  127   
Time is :1028   this is case:  128   
Time is :1070   this is case:  129   
Time is :1047   this is case:  130   
Time is :1042   this is case:  131   
Time is :1009   this is case:  132   
Time is :1024   this is case:  133   
Time is :1065   this is case:  134   
Time is :1046   this is case:  135   
Time is :1061   this is case:  136   
Time is :1048   this is case:  137   
Time is :1070   this is case:  138   
Time is :1068   this is case:  139   
Time is :906   this is case:  140   
Time is :900   this is case:  141   
Time is :1325   this is case:  142   
Time is :1169   this is case:  143   
Time is :1040   this is case:  144   
Time is :1171   this is case:  145   
Time is :1188   this is case:  146   
Time is :1057   this is case:  147   
Time is :1194   this is case:  148   
Time is :1048   this is case:  149   
Time is :1177   this is case:  150   
Time is :1063   this is case:  151   
Time is :1181   this is case:  152   
Time is :1040   this is case:  153   
Time is :1193   this is case:  154   
Time is :1057   this is case:  155   
Time is :1189   this is case:  156   
Time is :1016   this is case:  157   
Time is :1184   this is case:  158   
Time is :1051   this is case:  159   
Time is :1063   this is case:  160   
Time is :1050   this is case:  161   
Time is :1051   this is case:  162   
Time is :1067   this is case:  163   
Time is :1052   this is case:  164   
Time is :1022   this is case:  165   
Time is :1055   this is case:  166   
Time is :1026   this is case:  167   
Time is :1198   this is case:  168   
Time is :924   this is case:  169   
Time is :1596   this is case:  170   
Time is :1280   this is case:  171   
Time is :1310   this is case:  172   
Time is :1122   this is case:  173   
Time is :1080   this is case:  174   
Time is :903   this is case:  175   
Time is :924   this is case:  176   
Time is :908   this is case:  177   
Time is :1043   this is case:  178   
Time is :2872   this is case:  179   
Time is :2291   this is case:  180   
Time is :1138   this is case:  181   
Time is :1077   this is case:  182   
Time is :1081   this is case:  183   
Time is :910   this is case:  184   
Time is :939   this is case:  185   
Time is :1063   this is case:  186   
Time is :954   this is case:  187   
Time is :967   this is case:  188   
Time is :923   this is case:  189   
Time is :1061   this is case:  190   
Time is :1057   this is case:  191   
Time is :1060   this is case:  192   
Time is :1080   this is case:  193   
Time is :1216   this is case:  194   
Time is :983   this is case:  195   
Time is :1064   this is case:  196   
Time is :1067   this is case:  197   
Time is :979   this is case:  198   
Time is :978   this is case:  199   
Time is :1090   this is case:  200   
Time is :1219   this is case:  201   
Time is :1153   this is case:  202   
Time is :1129   this is case:  203   
Time is :1102   this is case:  204   
Time is :1272   this is case:  205   
Time is :1138   this is case:  206   
Time is :1008   this is case:  207   
Time is :1124   this is case:  208   
Time is :1083   this is case:  209   
Time is :1090   this is case:  210   
Time is :1088   this is case:  211   
Time is :1057   this is case:  212   
Time is :1068   this is case:  213   
Time is :1166   this is case:  214   
Time is :940   this is case:  215   
Time is :1271   this is case:  216   
Time is :937   this is case:  217   
Time is :904   this is case:  218   
Time is :956   this is case:  219   
Time is :1093   this is case:  220   
Time is :3636   this is case:  221   
Time is :1870   this is case:  222   
Time is :1109   this is case:  223   
Time is :1114   this is case:  224   
Time is :997   this is case:  225   
Time is :1080   this is case:  226   
Time is :1137   this is case:  227   
Time is :1345   this is case:  228   
Time is :934   this is case:  229   
Time is :1207   this is case:  230   
Time is :1158   this is case:  231   
Time is :901   this is case:  232   
Time is :961   this is case:  233   
Time is :916   this is case:  234   
Time is :968   this is case:  235   
Time is :916   this is case:  236   
Time is :947   this is case:  237   
Time is :1064   this is case:  238   
Time is :1036   this is case:  239   
Time is :945   this is case:  240   
Time is :1189   this is case:  241   
Time is :1033   this is case:  242   
Time is :1040   this is case:  243   
Time is :1038   this is case:  244   
Time is :1046   this is case:  245   
Time is :1058   this is case:  246   
Time is :1200   this is case:  247   
Time is :1049   this is case:  248   
Time is :1035   this is case:  249   
Time is :1049   this is case:  250   
Time is :1062   this is case:  251   
Time is :1073   this is case:  252   
Time is :1052   this is case:  253   
Time is :936   this is case:  254   
Time is :1148   this is case:  255   
Time is :1036   this is case:  256   
Time is :1044   this is case:  257   
Time is :1066   this is case:  258   
Time is :1047   this is case:  259   
Time is :1087   this is case:  260   
Time is :995   this is case:  261   
Time is :1203   this is case:  262   
Time is :1032   this is case:  263   
Time is :1202   this is case:  264   
Time is :943   this is case:  265   
Time is :1287   this is case:  266   
Time is :909   this is case:  267   
Time is :1060   this is case:  268   
Time is :899   this is case:  269   
Time is :1045   this is case:  270   
Time is :887   this is case:  271   
Time is :930   this is case:  272   
Time is :977   this is case:  273   
Time is :1006   this is case:  274   
Time is :968   this is case:  275   
Time is :1044   this is case:  276   
Time is :885   this is case:  277   
Time is :907   this is case:  278   
Time is :902   this is case:  279   
Time is :904   this is case:  280   
Time is :1335   this is case:  281   
Time is :1065   this is case:  282   
Time is :894   this is case:  283   
Time is :1171   this is case:  284   
Time is :1077   this is case:  285   
Time is :1128   this is case:  286   
Time is :909   this is case:  287   
Time is :1075   this is case:  288   
Time is :956   this is case:  289   
Time is :890   this is case:  290   
Time is :1036   this is case:  291   
Time is :910   this is case:  292   
Time is :1154   this is case:  293   
Time is :1043   this is case:  294   
Time is :953   this is case:  295   
Time is :1223   this is case:  296   
Time is :927   this is case:  297   
Time is :1168   this is case:  298   
Time is :1054   this is case:  299   
Time is :1115   this is case:  300   
Time is :1034   this is case:  301   
Time is :1042   this is case:  302   
Time is :1049   this is case:  303   
Time is :906   this is case:  304   
Time is :933   this is case:  305   
Time is :971   this is case:  306   
Time is :880   this is case:  307   
Time is :1060   this is case:  308   
Time is :1045   this is case:  309   
Time is :1051   this is case:  310   
Time is :1037   this is case:  311   
Time is :1031   this is case:  312   
Time is :1040   this is case:  313   
Time is :1050   this is case:  314   
Time is :1132   this is case:  315   
Time is :964   this is case:  316   
Time is :886   this is case:  317   
Time is :1050   this is case:  318   
Time is :1033   this is case:  319   
Time is :1032   this is case:  320   
Time is :907   this is case:  321   
Time is :943   this is case:  322   
Time is :886   this is case:  323   
Time is :916   this is case:  324   
Time is :904   this is case:  325   
Time is :911   this is case:  326   
Time is :919   this is case:  327   
Time is :883   this is case:  328   
Time is :1037   this is case:  329   
Time is :1096   this is case:  330   
Time is :1013   this is case:  331   
Time is :1047   this is case:  332   
Time is :911   this is case:  333   
Time is :1045   this is case:  334   
Time is :1038   this is case:  335   
Time is :1035   this is case:  336   
Time is :910   this is case:  337   
Time is :892   this is case:  338   
Time is :1009   this is case:  339   
Time is :1046   this is case:  340   
Time is :1039   this is case:  341   
Time is :1362   this is case:  342   
Time is :936   this is case:  343   
Time is :1052   this is case:  344   
Time is :1050   this is case:  345   
Time is :1082   this is case:  346   
Time is :921   this is case:  347   
Time is :905   this is case:  348   
Time is :1029   this is case:  349   
Time is :1149   this is case:  350   
Time is :952   this is case:  351   
Time is :852   this is case:  352   
Time is :1063   this is case:  353   
Time is :918   this is case:  354   
Time is :1308   this is case:  355   
Time is :1060   this is case:  356   
Time is :1082   this is case:  357   
Time is :1096   this is case:  358   
Time is :1045   this is case:  359   
Time is :1066   this is case:  360   
Time is :1081   this is case:  361   
Time is :1084   this is case:  362   
Time is :1027   this is case:  363   
Time is :1232   this is case:  364   
Time is :1097   this is case:  365   
Time is :1073   this is case:  366   
Time is :1051   this is case:  367   
Time is :1158   this is case:  368   
Time is :1096   this is case:  369   
Time is :988   this is case:  370   
Time is :1180   this is case:  371   
Time is :1070   this is case:  372   
Time is :972   this is case:  373   
Time is :1184   this is case:  374   
Time is :957   this is case:  375   
Time is :1076   this is case:  376   
Time is :1499   this is case:  377   
Time is :3940   this is case:  378   
Time is :1284   this is case:  379   
Time is :1121   this is case:  380   
Time is :1077   this is case:  381   
Time is :1139   this is case:  382   
Time is :1073   this is case:  383   
Time is :1101   this is case:  384   
Time is :1080   this is case:  385   
Time is :1074   this is case:  386   
Time is :1886   this is case:  387   
Time is :1083   this is case:  388   
Time is :1054   this is case:  389   
Time is :1113   this is case:  390   
Time is :929   this is case:  391   
Time is :1079   this is case:  392   
Time is :1115   this is case:  393   
Time is :1112   this is case:  394   
Time is :1523   this is case:  395   
Time is :1075   this is case:  396   
Time is :1099   this is case:  397   
Time is :1149   this is case:  398   
Time is :1046   this is case:  399   
Time is :1074   this is case:  400   
Time is :940   this is case:  401   
Time is :960   this is case:  402   
Time is :925   this is case:  403   
Time is :1043   this is case:  404   
Time is :941   this is case:  405   
Time is :958   this is case:  406   
Time is :936   this is case:  407   
Time is :926   this is case:  408   
Time is :943   this is case:  409   
Time is :945   this is case:  410   
Time is :912   this is case:  411   
Time is :892   this is case:  412   
Time is :1086   this is case:  413   
Time is :1293   this is case:  414   
Time is :1177   this is case:  415   
Time is :1065   this is case:  416   
Time is :1196   this is case:  417   
Time is :1071   this is case:  418   
Time is :1181   this is case:  419   
Time is :1035   this is case:  420   
Time is :921   this is case:  421   
Time is :1181   this is case:  422   
Time is :889   this is case:  423   
Time is :952   this is case:  424   
Time is :949   this is case:  425   
Time is :925   this is case:  426   
Time is :1166   this is case:  427   
Time is :898   this is case:  428   
Time is :1168   this is case:  429   
Time is :1042   this is case:  430   
Time is :1130   this is case:  431   
Time is :1190   this is case:  432   
Time is :1045   this is case:  433   
Time is :923   this is case:  434   
Time is :889   this is case:  435   
Time is :948   this is case:  436   
Time is :922   this is case:  437   
Time is :954   this is case:  438   
Time is :902   this is case:  439   
Time is :975   this is case:  440   
Time is :960   this is case:  441   
Time is :952   this is case:  442   
Time is :923   this is case:  443   
Time is :1145   this is case:  444   
Time is :1073   this is case:  445   
Time is :1061   this is case:  446   
Time is :1081   this is case:  447   
Time is :888   this is case:  448   
Time is :940   this is case:  449   
Time is :903   this is case:  450   
Time is :885   this is case:  451   
Time is :915   this is case:  452   
Time is :901   this is case:  453   
Time is :915   this is case:  454   
Time is :920   this is case:  455   
Time is :1395   this is case:  456   
Time is :941   this is case:  457   
Time is :1100   this is case:  458   
Time is :1078   this is case:  459   
Time is :1049   this is case:  460   
Time is :1029   this is case:  461   
Time is :1056   this is case:  462   
Time is :939   this is case:  463   
Time is :895   this is case:  464   
Time is :974   this is case:  465   
Time is :945   this is case:  466   
Time is :907   this is case:  467   
Time is :944   this is case:  468   
Time is :893   this is case:  469   
Time is :904   this is case:  470   
Time is :1723   this is case:  471   
Time is :1150   this is case:  472   
Time is :1075   this is case:  473   
Time is :900   this is case:  474   
Time is :1038   this is case:  475   
Time is :1772   this is case:  476   
Time is :1107   this is case:  477   
Time is :1054   this is case:  478   
Time is :1173   this is case:  479   
Time is :1028   this is case:  480   
Time is :1056   this is case:  481   
Time is :1044   this is case:  482   
Time is :1023   this is case:  483   
Time is :960   this is case:  484   
Time is :1096   this is case:  485   
Time is :1086   this is case:  486   
Time is :1063   this is case:  487   
Time is :1125   this is case:  488   
Time is :1051   this is case:  489   
Time is :1101   this is case:  490   
Time is :1063   this is case:  491   
Time is :955   this is case:  492   
Time is :1144   this is case:  493   
Time is :1329   this is case:  494   
Time is :859   this is case:  495   
Time is :1124   this is case:  496   
Time is :1054   this is case:  497   
Time is :1057   this is case:  498   
Time is :1120   this is case:  499   
Time is :1049   this is case:  500   
Time is :955   this is case:  501   
Time is :1095   this is case:  502   
Time is :898   this is case:  503   
Time is :919   this is case:  504   
Time is :886   this is case:  505   
Time is :886   this is case:  506   
Time is :1176   this is case:  507   
Time is :1044   this is case:  508   
Time is :896   this is case:  509   
Time is :1161   this is case:  510   
Time is :1019   this is case:  511   
Time is :1043   this is case:  512   
Time is :1004   this is case:  513   
Time is :1343   this is case:  514   
Time is :1101   this is case:  515   
Time is :924   this is case:  516   
Time is :1155   this is case:  517   
Time is :1052   this is case:  518   
Time is :1169   this is case:  519   
Time is :1071   this is case:  520   
Time is :1113   this is case:  521   
Time is :1048   this is case:  522   
Time is :938   this is case:  523   
Time is :972   this is case:  524   
Time is :956   this is case:  525   
Time is :916   this is case:  526   
Time is :906   this is case:  527   
Time is :924   this is case:  528   
Time is :1038   this is case:  529   
Time is :1044   this is case:  530   
Time is :1045   this is case:  531   
Time is :929   this is case:  532   
Time is :1086   this is case:  533   
Time is :1055   this is case:  534   
Time is :1058   this is case:  535   
Time is :1025   this is case:  536   
Time is :1057   this is case:  537   
Time is :1042   this is case:  538   
Time is :928   this is case:  539   
Time is :909   this is case:  540   
Time is :1044   this is case:  541   
Time is :916   this is case:  542   
Time is :921   this is case:  543   
Time is :890   this is case:  544   
Time is :1037   this is case:  545   
Time is :917   this is case:  546   
Time is :934   this is case:  547   
Time is :960   this is case:  548   
Time is :950   this is case:  549   
Time is :1200   this is case:  550   
Time is :1054   this is case:  551   
Time is :1022   this is case:  552   
Time is :1319   this is case:  553   
Time is :1026   this is case:  554   
Time is :1055   this is case:  555   
Time is :1049   this is case:  556   
Time is :1143   this is case:  557   
Time is :930   this is case:  558   
Time is :1212   this is case:  559   
Time is :1213   this is case:  560   
Time is :916   this is case:  561   
Time is :910   this is case:  562   
Time is :922   this is case:  563   
Time is :1052   this is case:  564   
Time is :1057   this is case:  565   
Time is :1091   this is case:  566   
Time is :1058   this is case:  567   
Time is :914   this is case:  568   
Time is :916   this is case:  569   
Time is :1049   this is case:  570   
Time is :1026   this is case:  571   
Time is :910   this is case:  572   
Time is :943   this is case:  573   
Time is :1401   this is case:  574   
Time is :964   this is case:  575   
Time is :941   this is case:  576   
Time is :1049   this is case:  577   
Time is :1064   this is case:  578   
Time is :1152   this is case:  579   
Time is :967   this is case:  580   
Time is :1137   this is case:  581   
Time is :1077   this is case:  582   
Time is :913   this is case:  583   
Time is :1065   this is case:  584   
Time is :915   this is case:  585   
Time is :905   this is case:  586   
Time is :1149   this is case:  587   
Time is :1080   this is case:  588   
Time is :1234   this is case:  589   
Time is :1044   this is case:  590   
Time is :1122   this is case:  591   
Time is :930   this is case:  592   
Time is :1082   this is case:  593   
Time is :1105   this is case:  594   
Time is :1042   this is case:  595   
Time is :1074   this is case:  596   
Time is :1112   this is case:  597   
Time is :1101   this is case:  598   
Time is :1237   this is case:  599   
Time is :1170   this is case:  600   
Time is :1078   this is case:  601   
Time is :1132   this is case:  602   
Time is :1124   this is case:  603   
Time is :1077   this is case:  604   
Time is :1086   this is case:  605   
Time is :1061   this is case:  606   
Time is :1072   this is case:  607   
Time is :1082   this is case:  608   
Time is :1069   this is case:  609   
Time is :1042   this is case:  610   
Time is :1062   this is case:  611   
Time is :1071   this is case:  612   
Time is :1056   this is case:  613   
Time is :1060   this is case:  614   
Time is :1071   this is case:  615   
Time is :1068   this is case:  616   
Time is :1069   this is case:  617   
Time is :1074   this is case:  618   
Time is :1058   this is case:  619   
Time is :1045   this is case:  620   
Time is :1049   this is case:  621   
Time is :1051   this is case:  622   
Time is :1066   this is case:  623   
Time is :1067   this is case:  624   
Time is :1023   this is case:  625   
Time is :1157   this is case:  626   
Time is :1706   this is case:  627   
Time is :1259   this is case:  628   
Time is :1098   this is case:  629   
Time is :1049   this is case:  630   
Time is :1483   this is case:  631   
Time is :1078   this is case:  632   
Time is :1011   this is case:  633   
Time is :930   this is case:  634   
Time is :1022   this is case:  635   
Time is :1082   this is case:  636   
Time is :1060   this is case:  637   
Time is :1025   this is case:  638   
Time is :1159   this is case:  639   
Time is :1057   this is case:  640   
Time is :885   this is case:  641   
Time is :1187   this is case:  642   
Time is :1171   this is case:  643   
Time is :1197   this is case:  644   
Time is :1054   this is case:  645   
Time is :1390   this is case:  646   
Time is :1042   this is case:  647   
Time is :1062   this is case:  648   
Time is :1014   this is case:  649   
Time is :1056   this is case:  650   
Time is :1050   this is case:  651   
Time is :1225   this is case:  652   
Time is :950   this is case:  653   
Time is :953   this is case:  654   
Time is :898   this is case:  655   
Time is :1050   this is case:  656   
Time is :881   this is case:  657   
Time is :1265   this is case:  658   
Time is :1056   this is case:  659   
Time is :1199   this is case:  660   
Time is :1172   this is case:  661   
Time is :824   this is case:  662   
Time is :916   this is case:  663   
Time is :957   this is case:  664   
Time is :1086   this is case:  665   
Time is :985   this is case:  666   
Time is :1016   this is case:  667   
Time is :935   this is case:  668   
Time is :1040   this is case:  669   
Time is :1018   this is case:  670   
Time is :1038   this is case:  671   
Time is :899   this is case:  672   
Time is :1154   this is case:  673   
Time is :1051   this is case:  674   
Time is :901   this is case:  675   
Time is :1169   this is case:  676   
Time is :1032   this is case:  677   
Time is :1175   this is case:  678   
Time is :1173   this is case:  679   
Time is :909   this is case:  680   
Time is :884   this is case:  681   
Time is :903   this is case:  682   
Time is :1037   this is case:  683   
Time is :945   this is case:  684   
Time is :1195   this is case:  685   
Time is :1169   this is case:  686   
Time is :1047   this is case:  687   
Time is :1043   this is case:  688   
Time is :1028   this is case:  689   
Time is :1530   this is case:  690   
Time is :1072   this is case:  691   
Time is :1061   this is case:  692   
Time is :1043   this is case:  693   
Time is :1042   this is case:  694   
Time is :1052   this is case:  695   
Time is :1040   this is case:  696   
Time is :1025   this is case:  697   
Time is :1043   this is case:  698   
Time is :1050   this is case:  699   
Time is :938   this is case:  700   
Time is :904   this is case:  701   
Time is :912   this is case:  702   
Time is :1082   this is case:  703   
Time is :918   this is case:  704   
Time is :1023   this is case:  705   
Time is :1068   this is case:  706   
Time is :974   this is case:  707   
Time is :958   this is case:  708   
Time is :1157   this is case:  709   
Time is :1066   this is case:  710   
Time is :922   this is case:  711   
Time is :1160   this is case:  712   
Time is :898   this is case:  713   
Time is :925   this is case:  714   
Time is :924   this is case:  715   
Time is :1787   this is case:  716   
Time is :1481   this is case:  717   
Time is :973   this is case:  718   
Time is :935   this is case:  719   
Time is :931   this is case:  720   
Time is :980   this is case:  721   
Time is :1098   this is case:  722   
Time is :938   this is case:  723   
Time is :935   this is case:  724   
Time is :902   this is case:  725   
Time is :919   this is case:  726   
Time is :1028   this is case:  727   
Time is :1197   this is case:  728   
Time is :1104   this is case:  729   
Time is :1176   this is case:  730   
Time is :1053   this is case:  731   
Time is :1161   this is case:  732   
Time is :1020   this is case:  733   
Time is :1107   this is case:  734   
Time is :1194   this is case:  735   
Time is :1040   this is case:  736   
Time is :1043   this is case:  737   
Time is :1057   this is case:  738   
Time is :1062   this is case:  739   
Time is :1062   this is case:  740   
Time is :907   this is case:  741   
Time is :1056   this is case:  742   
Time is :1043   this is case:  743   
Time is :1042   this is case:  744   
Time is :904   this is case:  745   
Time is :1050   this is case:  746   
Time is :1058   this is case:  747   
Time is :1512   this is case:  748   
Time is :1156   this is case:  749   
Time is :1092   this is case:  750   
Time is :1052   this is case:  751   
Time is :1057   this is case:  752   
Time is :902   this is case:  753   
Time is :1083   this is case:  754   
Time is :1056   this is case:  755   
Time is :1043   this is case:  756   
Time is :906   this is case:  757   
Time is :1060   this is case:  758   
Time is :1047   this is case:  759   
Time is :1208   this is case:  760   
Time is :935   this is case:  761   
Time is :1062   this is case:  762   
Time is :1056   this is case:  763   
Time is :1041   this is case:  764   
Time is :911   this is case:  765   
Time is :1064   this is case:  766   
Time is :1044   this is case:  767   
Time is :1109   this is case:  768   
Time is :935   this is case:  769   
Time is :1095   this is case:  770   
Time is :1067   this is case:  771   
Time is :914   this is case:  772   
Time is :1038   this is case:  773   
Time is :1072   this is case:  774   
Time is :1075   this is case:  775   
Time is :1044   this is case:  776   
Time is :1052   this is case:  777   
Time is :1033   this is case:  778   
Time is :1058   this is case:  779   
Time is :1032   this is case:  780   
Time is :948   this is case:  781   
Time is :957   this is case:  782   
Time is :1054   this is case:  783   
Time is :1200   this is case:  784   
Time is :927   this is case:  785   
Time is :1191   this is case:  786   
Time is :1072   this is case:  787   
Time is :1042   this is case:  788   
Time is :1054   this is case:  789   
Time is :1063   this is case:  790   
Time is :909   this is case:  791   
Time is :1170   this is case:  792   
Time is :1058   this is case:  793   
Time is :967   this is case:  794   
Time is :953   this is case:  795   
Time is :908   this is case:  796   
Time is :935   this is case:  797   
Time is :978   this is case:  798   
Time is :910   this is case:  799   
Time is :1076   this is case:  800   
Time is :1065   this is case:  801   
Time is :921   this is case:  802   
Time is :937   this is case:  803   
Time is :1095   this is case:  804   
Time is :1065   this is case:  805   
Time is :1067   this is case:  806   
Time is :1508   this is case:  807   
Time is :1201   this is case:  808   
Time is :1054   this is case:  809   
Time is :926   this is case:  810   
Time is :913   this is case:  811   
Time is :1042   this is case:  812   
Time is :1057   this is case:  813   
Time is :1053   this is case:  814   
Time is :934   this is case:  815   
Time is :1310   this is case:  816   
Time is :967   this is case:  817   
Time is :1465   this is case:  818   
Time is :918   this is case:  819   
Time is :901   this is case:  820   
Time is :1065   this is case:  821   
Time is :1044   this is case:  822   
Time is :1052   this is case:  823   
Time is :1041   this is case:  824   
Time is :952   this is case:  825   
Time is :929   this is case:  826   
Time is :1194   this is case:  827   
Time is :1092   this is case:  828   
Time is :1122   this is case:  829   
Time is :1041   this is case:  830   
Time is :1056   this is case:  831   
Time is :931   this is case:  832   
Time is :1200   this is case:  833   
Time is :1070   this is case:  834   
Time is :1294   this is case:  835   
Time is :1089   this is case:  836   
Time is :1097   this is case:  837   
Time is :1096   this is case:  838   
Time is :1099   this is case:  839   
Time is :1201   this is case:  840   
Time is :933   this is case:  841   
Time is :930   this is case:  842   
Time is :919   this is case:  843   
Time is :957   this is case:  844   
Time is :1241   this is case:  845   
Time is :1184   this is case:  846   
Time is :941   this is case:  847   
Time is :1168   this is case:  848   
Time is :939   this is case:  849   
Time is :936   this is case:  850   
Time is :1058   this is case:  851   
Time is :1079   this is case:  852   
Time is :1054   this is case:  853   
Time is :1048   this is case:  854   
Time is :1090   this is case:  855   
Time is :1142   this is case:  856   
Time is :1129   this is case:  857   
Time is :1064   this is case:  858   
Time is :1060   this is case:  859   
Time is :1072   this is case:  860   
Time is :1046   this is case:  861   
Time is :1064   this is case:  862   
Time is :1065   this is case:  863   
Time is :944   this is case:  864   
Time is :1534   this is case:  865   
Time is :1147   this is case:  866   
Time is :1090   this is case:  867   
Time is :952   this is case:  868   
Time is :916   this is case:  869   
Time is :1075   this is case:  870   
Time is :910   this is case:  871   
Time is :1073   this is case:  872   
Time is :1060   this is case:  873   
Time is :1245   this is case:  874   
Time is :959   this is case:  875   
Time is :1228   this is case:  876   
Time is :1063   this is case:  877   
Time is :1091   this is case:  878   
Time is :1173   this is case:  879   
Time is :1063   this is case:  880   
Time is :1055   this is case:  881   
Time is :965   this is case:  882   
Time is :1167   this is case:  883   
Time is :1281   this is case:  884   
Time is :1164   this is case:  885   
Time is :1328   this is case:  886   
Time is :1180   this is case:  887   
Time is :1097   this is case:  888   
Time is :1206   this is case:  889   
Time is :1058   this is case:  890   
Time is :929   this is case:  891   
Time is :951   this is case:  892   
Time is :897   this is case:  893   
Time is :930   this is case:  894   
Time is :878   this is case:  895   
Time is :916   this is case:  896   
Time is :882   this is case:  897   
Time is :923   this is case:  898   
Time is :1065   this is case:  899   
Time is :1033   this is case:  900   
Time is :893   this is case:  901   
Time is :939   this is case:  902   
Time is :968   this is case:  903   
Time is :1098   this is case:  904   
Time is :902   this is case:  905   
Time is :921   this is case:  906   
Time is :893   this is case:  907   
Time is :929   this is case:  908   
Time is :1046   this is case:  909   
Time is :1055   this is case:  910   
Time is :914   this is case:  911   
Time is :1010   this is case:  912   
Time is :1586   this is case:  913   
Time is :1551   this is case:  914   
Time is :1578   this is case:  915   
Time is :999   this is case:  916   
Time is :900   this is case:  917   
Time is :912   this is case:  918   
Time is :1050   this is case:  919   
Time is :1245   this is case:  920   
Time is :899   this is case:  921   
Time is :947   this is case:  922   
Time is :1351   this is case:  923   
Time is :1069   this is case:  924   
Time is :1132   this is case:  925   
Time is :1029   this is case:  926   
Time is :1095   this is case:  927   
Time is :951   this is case:  928   
Time is :1230   this is case:  929   
Time is :1286   this is case:  930   
Time is :957   this is case:  931   
Time is :1210   this is case:  932   
Time is :1377   this is case:  933   
Time is :1060   this is case:  934   
Time is :1178   this is case:  935   
Time is :1046   this is case:  936   
Time is :1040   this is case:  937   
Time is :1166   this is case:  938   
Time is :894   this is case:  939   
Time is :890   this is case:  940   
Time is :959   this is case:  941   
